gen,replicates,param_types,Fitness,Deviation,Square,Hamming,R,LCS,KT
0,p_run1,p1,1944.0,0.7492877492877493,0.575189485566844,1.0,0.9807692307692307,0.8269230769230769,0.5566037735849056
0,p_run1,p1,1817.0,0.6552706552706553,0.46423963876794067,0.9622641509433962,0.9807692307692307,0.7884615384615384,0.47387518142235124
0,p_run1,p1,1814.0,0.6353276353276354,0.4398080954684728,1.0,0.9615384615384616,0.7692307692307693,0.46153846153846156
0,p_run1,p1,1772.0,0.6495726495726496,0.4945976455410418,0.9811320754716981,1.0,0.8076923076923077,0.49709724238026126
0,p_run1,p1,1768.0,0.6680911680911681,0.4984679890340268,0.9811320754716981,1.0,0.7884615384615384,0.5
0,p_run1,p1,1726.0,0.6566951566951568,0.4836316723109176,1.0,0.9615384615384616,0.7307692307692307,0.4811320754716981
0,p_run1,p1,1645.0,0.6438746438746439,0.4551282051282051,1.0,1.0,0.8076923076923077,0.4716981132075472
0,p_run1,p1,1606.0,0.6538461538461539,0.5128205128205128,0.9622641509433962,1.0,0.7307692307692307,0.5036284470246735
0,p_run1,p1,1572.0,0.6723646723646723,0.514916948879213,0.9622641509433962,0.9615384615384616,0.75,0.5094339622641509
0,p_run1,p1,1567.0,0.5356125356125356,0.3712707627801968,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4107402031930334
0,p_run1,p1,1558.0,0.6481481481481481,0.5085873246250605,0.9622641509433962,0.9807692307692307,0.75,0.5043541364296081
0,p_run1,p1,1880.0,0.6780626780626781,0.49149330753104337,0.9811320754716981,0.9423076923076923,0.7692307692307693,0.4941944847605225
0,p_run1,p1,1406.0,0.670940170940171,0.5287050475729721,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.5217706821480407
0,p_run1,p1,1879.0,0.7207977207977209,0.5714400903080148,1.0,0.9230769230769231,0.7884615384615384,0.5391872278664731
0,p_run1,p1,1863.0,0.6481481481481481,0.49008224479922596,1.0,0.9615384615384616,0.75,0.49056603773584906
0,p_run1,p1,1862.0,0.7279202279202279,0.5510401548137397,0.9811320754716981,0.9807692307692307,0.8076923076923077,0.532656023222061
0,p_run1,p1,1840.0,0.7421652421652422,0.6056281244960491,0.9811320754716981,1.0,0.8076923076923077,0.5653120464441219
0,p_run1,p1,1832.0,0.7236467236467237,0.5823254313820352,0.9622641509433962,0.9807692307692307,0.7884615384615384,0.5551523947750363
0,p_run1,p1,1821.0,0.5968660968660969,0.402112562489921,0.9433962264150944,0.9615384615384616,0.7692307692307693,0.43033381712626995
0,p_run1,p1,1818.0,0.6680911680911681,0.49500080632156107,1.0,0.9615384615384616,0.7884615384615384,0.49709724238026126
1,p_run1,p1,1772.0,0.6566951566951568,0.5045960328979197,0.9811320754716981,1.0,0.7884615384615384,0.502177068214804
1,p_run1,p1,1558.0,0.6481481481481481,0.5085873246250605,0.9622641509433962,0.9807692307692307,0.75,0.5043541364296081
1,p_run1,p1,1519.0,0.5327635327635328,0.3666344138042251,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.409288824383164
1,p_run1,p1,1468.0,0.5413105413105413,0.385502338332527,0.9811320754716981,0.9807692307692307,0.7884615384615384,0.420899854862119
1,p_run1,p1,1406.0,0.670940170940171,0.5290275761973875,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.5224963715529753
1,p_run1,p1,1406.0,0.6495726495726496,0.5074181583615546,0.9811320754716981,0.9807692307692307,0.7884615384615384,0.5065312046444121
1,p_run1,p1,1406.0,0.650997150997151,0.5112078696984358,0.9811320754716981,0.9615384615384616,0.7884615384615384,0.5094339622641509
1,p_run1,p1,1406.0,0.670940170940171,0.5297935816803742,0.9811320754716981,1.0,0.7692307692307693,0.5224963715529753
1,p_run1,p1,1406.0,0.670940170940171,0.5287050475729721,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.5217706821480407
1,p_run1,p1,1402.0,0.6937321937321937,0.560312852765683,0.9811320754716981,0.9807692307692307,0.7884615384615384,0.5442670537010159
1,p_run1,p1,1400.0,0.6210826210826211,0.46944041283663923,0.9622641509433962,0.9807692307692307,0.7692307692307693,0.48040638606676345
1,p_run1,p1,1748.0,0.603988603988604,0.41315916787614904,1.0,1.0,0.7884615384615384,0.4477503628447025
1,p_run1,p1,1268.0,0.6096866096866097,0.4495242702789873,0.9811320754716981,1.0,0.7692307692307693,0.4709724238026125
1,p_run1,p1,1726.0,0.6524216524216525,0.48048701822286727,1.0,0.9615384615384616,0.7307692307692307,0.4782293178519594
1,p_run1,p1,1726.0,0.6581196581196581,0.48463957426221577,1.0,0.9615384615384616,0.7307692307692307,0.4818577648766328
1,p_run1,p1,1726.0,0.6566951566951568,0.4833494597645541,1.0,0.9615384615384616,0.7307692307692307,0.48040638606676345
1,p_run1,p1,1686.0,0.584045584045584,0.3834059022738268,1.0,0.9230769230769231,0.7692307692307693,0.4216255442670537
1,p_run1,p1,1652.0,0.6581196581196581,0.4982260925657152,0.9622641509433962,1.0,0.7884615384615384,0.49637155297532654
1,p_run1,p1,1645.0,0.6438746438746439,0.4536768263183358,1.0,1.0,0.8076923076923077,0.4709724238026125
1,p_run1,p1,1567.0,0.5356125356125356,0.3712707627801968,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4107402031930334
10,p_run1,p1,1735.0,0.5883190883190883,0.3843331720690211,0.9811320754716981,1.0,0.7692307692307693,0.4281567489114659
10,p_run1,p1,1144.0,0.6153846153846154,0.4454120303176907,0.9811320754716981,0.9807692307692307,0.7692307692307693,0.4629898403483309
10,p_run1,p1,1142.0,0.6652421652421653,0.49870988550233836,0.9811320754716981,1.0,0.7884615384615384,0.502177068214804
10,p_run1,p1,1113.0,0.680911680911681,0.5047572972101274,0.9811320754716981,0.9807692307692307,0.8076923076923077,0.5043541364296081
10,p_run1,p1,1014.0,0.5512820512820513,0.39154975004031606,0.9811320754716981,0.9615384615384616,0.7307692307692307,0.4288824383164006
10,p_run1,p1,1014.0,0.5512820512820513,0.39255765199161424,0.9811320754716981,0.9615384615384616,0.7307692307692307,0.43033381712626995
10,p_run1,p1,1014.0,0.5712250712250713,0.42009353330108046,0.9811320754716981,0.9807692307692307,0.7307692307692307,0.444121915820029
10,p_run1,p1,1010.0,0.5584045584045584,0.38691340106434446,0.9811320754716981,0.9615384615384616,0.7307692307692307,0.4288824383164006
10,p_run1,p1,1010.0,0.5512820512820513,0.37675374939525885,0.9811320754716981,0.9615384615384616,0.75,0.42017416545718433
10,p_run1,p1,1010.0,0.5512820512820513,0.3844944363812288,0.9811320754716981,0.9615384615384616,0.7307692307692307,0.42525399129172714
10,p_run1,p1,1010.0,0.6082621082621082,0.4602886631188518,0.9811320754716981,0.9807692307692307,0.75,0.4782293178519594
